,Number,decimalLatitude,decimalLongitude
1,5,64.090303,23.407203
2,1,60.543131,27.816975
3,1,60.038827,23.236726
4,12,61.117979,25.70298
5,1,61.208912,25.796833
6,1,61.118202,25.698147
7,1,62.319658,29.649202
8,1,62.413229,29.909154
9,1,63.039147,21.567464
10,78,61.201877,28.79839
11,2,61.499585,21.763345
12,1,60.267399,24.898203
13,1,60.458421,22.178232
14,1,63.944825,25.262811
15,7,64.090303,23.407203
16,1,60.33644,24.190162
17,1,62.273102,29.757832
18,3,62.553345,29.105981
20,5,61.118202,25.698147
21,1,60.309732,22.280737
22,2,60.422577,22.102706
23,1,60.455844,26.906183
24,1,60.271153,25.82252
25,3,60.1797,25.645584
26,1,61.598979,21.435077
27,9,60.169539,21.679254
28,2,59.932183,24.325611
29,1,60.251537,21.484921
30,1,61.322412,24.102246
31,1,60.853373,27.929731
32,1,60.853373,27.929731
34,1,60.1797,25.645584
35,1,59.928077,22.43469